Date : 2025-04-07 21:19:40
Directory : c:\Users\Jolan\Desktop\proximitylinked
Total : 112 files,  3776 codes, 103 comments, 809 blanks, all 4688 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| c:\Users\Jolan\Desktop\proximitylinked\db.sqlite3                                                                                       | sqlite3-editor-database |         86 |          0 |          2 |         88 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\__init__.py                                                                         | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\admin.py                                                                            | Python                  |          1 |          1 |          2 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\apps.py                                                                             | Python                  |          4 |          0 |          3 |          7 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\forms.py                                                                            | Python                  |         11 |          0 |          3 |         14 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\migrations\0001_initial.py                                                          | Python                  |         25 |          1 |          7 |         33 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\migrations\0002_remove_userinterest_interest_and_more.py                            | Python                  |         21 |          1 |          6 |         28 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\migrations\__init__.py                                                              | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\models.py                                                                           | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\templates\friendsearch\friend_search.html                                           | HTML                    |        444 |         13 |         64 |        521 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\templates\friendsearch\test.html                                                    | HTML                    |        106 |          0 |         11 |        117 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\templates\friendsearch\your_friends.html                                            | HTML                    |         16 |          1 |          4 |         21 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\tests.py                                                                            | Python                  |          1 |          1 |          2 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\urls.py                                                                             | Python                  |         10 |          0 |          2 |         12 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\views.py                                                                            | Python                  |        111 |         11 |         42 |        164 |
| c:\Users\Jolan\Desktop\proximitylinked\friendsearch\wordlist.py                                                                         | Python                  |         47 |          0 |          7 |         54 |
| c:\Users\Jolan\Desktop\proximitylinked\manage.py                                                                                        | Python                  |         19 |          1 |          7 |         27 |
| c:\Users\Jolan\Desktop\proximitylinked\notifications\__init__.py                                                                        | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\notifications\admin.py                                                                           | Python                  |          7 |          0 |          2 |          9 |
| c:\Users\Jolan\Desktop\proximitylinked\notifications\apps.py                                                                            | Python                  |          4 |          0 |          3 |          7 |
| c:\Users\Jolan\Desktop\proximitylinked\notifications\migrations\0001_initial.py                                                         | Python                  |         27 |          1 |          7 |         35 |
| c:\Users\Jolan\Desktop\proximitylinked\notifications\migrations\__init__.py                                                             | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\notifications\models.py                                                                          | Python                  |         20 |          0 |          5 |         25 |
| c:\Users\Jolan\Desktop\proximitylinked\notifications\templates\notifications\notifications_dropdown.html                                | HTML                    |         17 |          0 |          1 |         18 |
| c:\Users\Jolan\Desktop\proximitylinked\notifications\tests.py                                                                           | Python                  |          1 |          1 |          2 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\notifications\urls.py                                                                            | Python                  |          5 |          0 |          2 |          7 |
| c:\Users\Jolan\Desktop\proximitylinked\notifications\views.py                                                                           | Python                  |          9 |          0 |          2 |         11 |
| c:\Users\Jolan\Desktop\proximitylinked\posts\__init__.py                                                                                | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\posts\admin.py                                                                                   | Python                  |         42 |          4 |         17 |         63 |
| c:\Users\Jolan\Desktop\proximitylinked\posts\apps.py                                                                                    | Python                  |          4 |          0 |          3 |          7 |
| c:\Users\Jolan\Desktop\proximitylinked\posts\forms.py                                                                                   | Python                  |         36 |          0 |         10 |         46 |
| c:\Users\Jolan\Desktop\proximitylinked\posts\migrations\0001_initial.py                                                                 | Python                  |         65 |          1 |          7 |         73 |
| c:\Users\Jolan\Desktop\proximitylinked\posts\migrations\0002_post_title.py                                                              | Python                  |         13 |          1 |          6 |         20 |
| c:\Users\Jolan\Desktop\proximitylinked\posts\migrations\__init__.py                                                                     | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\posts\models.py                                                                                  | Python                  |         44 |          3 |         14 |         61 |
| c:\Users\Jolan\Desktop\proximitylinked\posts\templates\posts\post.html                                                                  | HTML                    |        289 |          3 |         42 |        334 |
| c:\Users\Jolan\Desktop\proximitylinked\posts\tests.py                                                                                   | Python                  |          1 |          1 |          2 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\posts\urls.py                                                                                    | Python                  |          9 |          1 |          3 |         13 |
| c:\Users\Jolan\Desktop\proximitylinked\posts\views.py                                                                                   | Python                  |        158 |          4 |         23 |        185 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\__init__.py                                                                     | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\admin.py                                                                        | Python                  |         99 |          1 |         22 |        122 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\apps.py                                                                         | Python                  |          4 |          0 |          3 |          7 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\choices.py                                                                      | Python                  |         27 |          0 |          1 |         28 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\forms.py                                                                        | Python                  |         71 |          4 |         15 |         90 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0001_initial.py                                                      | Python                  |         31 |          1 |          7 |         39 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0002_alter_customuser_birth_year.py                                  | Python                  |         12 |          1 |          6 |         19 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0003_remove_customuser_birth_year_and_more.py                        | Python                  |         21 |          1 |          6 |         28 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0004_alter_customuser_phone_number.py                                | Python                  |         13 |          1 |          6 |         20 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0005_customuser_main_language_customuser_profile_picture_and_more.py | Python                  |         22 |          1 |          6 |         29 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0006_customuser_show_date_of_birth_customuser_show_email_and_more.py | Python                  |         42 |          1 |          6 |         49 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0007_alter_customuser_pronouns.py                                    | Python                  |         12 |          1 |          6 |         19 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0008_customuser_bio_customuser_show_bio.py                           | Python                  |         17 |          1 |          6 |         24 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0009_alter_customuser_main_language_and_more.py                      | Python                  |         17 |          1 |          6 |         24 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0010_customuser_interests_customuser_location.py                     | Python                  |         18 |          1 |          6 |         25 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0011_alter_customuser_interests.py                                   | Python                  |         12 |          1 |          6 |         19 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\0012_friendship.py                                                   | Python                  |         22 |          1 |          6 |         29 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\migrations\__init__.py                                                          | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\models.py                                                                       | Python                  |        128 |          1 |         25 |        154 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\activation_email.html                                | HTML                    |          4 |          0 |          4 |          8 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\activation_failed.html                               | HTML                    |          2 |          0 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\activation_success.html                              | HTML                    |          2 |          0 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\email_verification_sent.html                         | HTML                    |          2 |          0 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\forgot_password.html                                 | HTML                    |         12 |          0 |          3 |         15 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\login.html                                           | HTML                    |         18 |          0 |          8 |         26 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\password_reset_complete.html                         | HTML                    |          4 |          0 |          1 |          5 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\password_reset_confirm.html                          | HTML                    |          8 |          0 |          2 |         10 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\password_reset_done.html                             | HTML                    |          5 |          0 |          1 |          6 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\password_reset_email.html                            | HTML                    |          7 |          0 |          5 |         12 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\templates\registerandlogin\register.html                                        | HTML                    |         92 |          0 |         20 |        112 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\tests.py                                                                        | Python                  |          1 |          1 |          2 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\urls.py                                                                         | Python                  |         13 |          0 |          3 |         16 |
| c:\Users\Jolan\Desktop\proximitylinked\registerandlogin\views.py                                                                        | Python                  |         99 |          0 |         22 |        121 |
| c:\Users\Jolan\Desktop\proximitylinked\sitesettings\__init__.py                                                                         | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\sitesettings\admin.py                                                                            | Python                  |          1 |          1 |          2 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\sitesettings\apps.py                                                                             | Python                  |          4 |          0 |          2 |          6 |
| c:\Users\Jolan\Desktop\proximitylinked\sitesettings\migrations\__init__.py                                                              | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\sitesettings\models.py                                                                           | Python                  |          1 |          1 |          2 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\sitesettings\templates\sitesettings\sitesettings.html                                            | HTML                    |         11 |          1 |          5 |         17 |
| c:\Users\Jolan\Desktop\proximitylinked\sitesettings\tests.py                                                                            | Python                  |          1 |          1 |          2 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\sitesettings\urls.py                                                                             | Python                  |          5 |          0 |          2 |          7 |
| c:\Users\Jolan\Desktop\proximitylinked\sitesettings\views.py                                                                            | Python                  |          5 |          0 |          2 |          7 |
| c:\Users\Jolan\Desktop\proximitylinked\static\js\admin_clear_buttons.js                                                                 | JavaScript              |         13 |          0 |          1 |         14 |
| c:\Users\Jolan\Desktop\proximitylinked\static\maps\europe.svg                                                                           | XML                     |        396 |          0 |          3 |        399 |
| c:\Users\Jolan\Desktop\proximitylinked\templates\base.html                                                                              | HTML                    |         73 |          1 |          6 |         80 |
| c:\Users\Jolan\Desktop\proximitylinked\userprofile\__init__.py                                                                          | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\userprofile\admin.py                                                                             | Python                  |          1 |          1 |          2 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\userprofile\apps.py                                                                              | Python                  |          4 |          0 |          3 |          7 |
| c:\Users\Jolan\Desktop\proximitylinked\userprofile\forms.py                                                                             | Python                  |         45 |          1 |          7 |         53 |
| c:\Users\Jolan\Desktop\proximitylinked\userprofile\migrations\0001_initial.py                                                           | Python                  |         22 |          1 |          7 |         30 |
| c:\Users\Jolan\Desktop\proximitylinked\userprofile\migrations\__init__.py                                                               | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\userprofile\models.py                                                                            | Python                  |         19 |          1 |          7 |         27 |
| c:\Users\Jolan\Desktop\proximitylinked\userprofile\templates\userprofile\edit_profile.html                                              | HTML                    |         96 |          0 |         24 |        120 |
| c:\Users\Jolan\Desktop\proximitylinked\userprofile\templates\userprofile\profile.html                                                   | HTML                    |        153 |          0 |         39 |        192 |
| c:\Users\Jolan\Desktop\proximitylinked\userprofile\tests.py                                                                             | Python                  |          1 |          1 |          2 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\userprofile\urls.py                                                                              | Python                  |          8 |          0 |          2 |         10 |
| c:\Users\Jolan\Desktop\proximitylinked\userprofile\views.py                                                                             | Python                  |         43 |          1 |         11 |         55 |
| Total                                                                                                                                   |                         |      3,776 |        103 |        809 |      4,688 |
+-----------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
